monto_prestamo,plazo,tasa_interes,trabajo_prestatario,antiguedad_prestatario,estatus_vivienda,ingreso_anual,estatus_verif_ingreso,fecha_prestamo,estatus_prestamo,tipo_prestamo,estado_vive,proporcion_pagos,pagos_recib,cargos_atrasados,pagos_mes_anterior,meses_mala_calif,tipo_solicitud,ingreso_conjunto,cuentas_mora,saldo_total,saldo_plazos,hipotecas,metodo_recibe_pago
10450,36 months,18.94,Project Manager,10+ years,MORTGAGE,70000,Source Verified,01-12-2018,Current,Debt consolidation,TN,27.38,377.25,0,01-02-2019,,Individual,,0,410636,6660,1,Cash
14000,36 months,14.47,Rad tech,10+ years,MORTGAGE,36000,Not Verified,01-12-2018,Current,Credit card refinancing,NE,28.1,946.5,0,01-02-2019,28,Individual,,0,40699,34579,0,Cash
11500,36 months,8.19,President,10+ years,MORTGAGE,173370,Not Verified,01-12-2018,Current,Credit card refinancing,MN,25.29,374.46,0,01-02-2019,,Individual,,0,509992,46707,2,Cash
11000,36 months,6.46,School Readiness Teacher,3 years,ANY,45000,Not Verified,01-12-2018,Current,Credit card refinancing,MN,21.68,667.96,0,01-02-2019,,Individual,,0,91997,80176,0,DirectPay
4800,36 months,18.94,dispatch,4 years,RENT,28000,Not Verified,01-12-2018,Current,Other,TX,12.64,316.27,0,01-02-2019,,Individual,,0,9887,0,0,Cash
5000,36 months,7.02,Lineman,8 years,MORTGAGE,86721,Not Verified,01-12-2018,Current,Credit card refinancing,MS,13.83,305.96,0,01-02-2019,,Individual,,0,195476,37602,1,Cash
30000,60 months,14.47,Teacher,4 years,MORTGAGE,47000,Verified,01-12-2018,Current,Debt consolidation,TX,44.74,1374.58,0,01-02-2019,,Joint App,107000,0,219255,22255,4,Cash
35000,60 months,16.91,Commercial Banking Associate Senior,8 years,RENT,120000,Source Verified,01-12-2018,Current,Credit card refinancing,WA,17.32,1508.08,0,01-02-2019,46,Individual,,0,57866,21465,2,DirectPay
23000,60 months,11.8,transcript evaluator,10+ years,OWN,54000,Source Verified,01-12-2018,Current,Credit card refinancing,TN,23.18,996,0,01-02-2019,,Individual,,0,16223,938,0,Cash
32000,60 months,8.19,Store director,10+ years,MORTGAGE,135000,Not Verified,01-12-2018,Current,Credit card refinancing,ID,15.64,1281.68,0,01-02-2019,,Individual,,0,63815,5233,3,DirectPay
15000,60 months,18.94,,n/a,MORTGAGE,0,Not Verified,01-12-2018,Current,Debt consolidation,SC,0,483.32,0,01-02-2019,60,Joint App,144000,0,316046,0,1,Cash
16800,60 months,11.8,"Vice President, Sales",6 years,MORTGAGE,140000,Not Verified,01-12-2018,Current,Debt consolidation,SC,17.77,716.51,0,01-02-2019,49,Individual,,0,371621,25288,1,Cash
27000,36 months,8.19,,n/a,MORTGAGE,119000,Not Verified,01-12-2018,Current,Debt consolidation,CA,16.04,854.61,0,01-02-2019,,Individual,,0,330735,4973,2,DirectPay
14000,36 months,11.31,Clerk of the District Court,10+ years,MORTGAGE,43241.77,Source Verified,01-12-2018,Current,Debt consolidation,KS,21.04,898.83,0,01-02-2019,,Individual,,0,49739,13585,1,Cash
10450,36 months,11.8,COO,3 years,RENT,150000,Not Verified,01-12-2018,Current,Credit card refinancing,CA,5.8,356.38,0,01-02-2019,,Individual,,0,22071,3800,0,DirectPay
5000,36 months,10.72,Home care attendant,4 years,OWN,36000,Source Verified,01-12-2018,Current,Home improvement,VA,14.97,318.64,0,01-02-2019,,Individual,,0,8915,5997,0,Cash
25000,60 months,15.02,detective,10+ years,RENT,130000,Source Verified,01-12-2018,Current,Debt consolidation,NY,13.85,1198.32,0,01-02-2019,,Individual,,0,64478,35817,0,DirectPay
10000,36 months,6.46,Clerk,9 years,OWN,35000,Not Verified,01-12-2018,Current,Credit card refinancing,NY,17.92,603.65,0,01-02-2019,41,Individual,,0,21552,5134,0,DirectPay
22000,36 months,6.46,Operations Director,8 years,RENT,120000,Source Verified,01-12-2018,Current,Debt consolidation,MA,2.83,1335.92,0,01-02-2019,,Individual,,0,19409,0,0,Cash
20000,36 months,14.47,Nurse Manager,10+ years,OWN,62400,Source Verified,01-12-2018,Current,Debt consolidation,GA,29.6,1344.1,0,01-02-2019,16,Individual,,0,63940,38218,0,Cash
11200,36 months,8.19,,n/a,RENT,18000,Not Verified,01-12-2018,Current,Debt consolidation,PA,11.47,663.14,0,01-02-2019,76,Joint App,83000,0,3820,0,0,Cash
9600,36 months,13.56,CORPORATE PARTNER,3 years,MORTGAGE,92000,Verified,01-12-2018,Current,Debt consolidation,TX,39.08,637.66,0,01-02-2019,,Individual,,0,294604,45430,2,Cash
10000,36 months,8.19,Mechanic,10+ years,MORTGAGE,75500,Source Verified,01-12-2018,Current,Debt consolidation,PA,24.51,619.4,0,01-02-2019,27,Individual,,0,36589,21185,3,Cash
16000,36 months,10.33,parts salesman,7 years,RENT,40000,Source Verified,01-12-2018,Current,Debt consolidation,TX,19.86,1019.16,0,01-02-2019,,Individual,,0,27857,15437,0,Cash
1800,36 months,8.19,Account Manager,8 years,OWN,74000,Not Verified,01-12-2018,Current,Business,NC,23.19,111.5,0,01-02-2019,70,Individual,,0,53554,42759,0,Cash
6000,36 months,11.8,,n/a,RENT,12000,Not Verified,01-12-2018,Current,Debt consolidation,NY,37.3,210.52,0,01-02-2019,,Individual,,0,8085,2466,0,Cash
28000,36 months,17.97,CEO,3 years,MORTGAGE,90000,Source Verified,01-12-2018,Current,Debt consolidation,VA,35.53,1995.75,0,01-02-2019,,Individual,,0,270594,31418,2,Cash
8000,36 months,15.02,Office Manager,6 years,MORTGAGE,60000,Source Verified,01-12-2018,Current,Credit card refinancing,KY,11.56,548.14,0,01-02-2019,,Individual,,0,131543,6496,2,Cash
10000,36 months,15.02,Steel Assembly,10+ years,RENT,40000,Source Verified,01-12-2018,Current,Major purchase,AR,6.21,685.18,0,01-02-2019,42,Individual,,0,3121,0,0,Cash
10000,36 months,6.46,,< 1 year,MORTGAGE,60000,Not Verified,01-12-2018,Current,Debt consolidation,OH,0.5,809.03,0,01-02-2019,,Individual,,0,165666,0,2,Cash
20000,36 months,6.46,,< 1 year,MORTGAGE,80000,Not Verified,01-12-2018,Current,Debt consolidation,FL,8.16,1218.06,0,01-02-2019,100,Individual,,0,201506,8666,2,Cash
12000,36 months,8.19,Mechanic,3 years,RENT,70000,Not Verified,01-12-2018,Current,Credit card refinancing,MA,9.14,748.72,0,01-02-2019,42,Individual,,0,109748,107959,0,Cash
5000,36 months,17.97,Teacher,10+ years,MORTGAGE,118000,Not Verified,01-12-2018,Current,Debt consolidation,NY,38.41,353.89,0,01-02-2019,,Individual,,0,288147,44703,3,Cash
30000,36 months,8.19,Principal,10+ years,MORTGAGE,145000,Source Verified,01-12-2018,Current,Credit card refinancing,CA,24.14,1762.61,0,01-02-2019,,Individual,,0,552204,59523,7,Cash
20000,60 months,16.14,Truck driver,10+ years,MORTGAGE,72000,Source Verified,01-12-2018,Current,Debt consolidation,FL,12.23,948.82,0,01-02-2019,,Individual,,0,24481,1990,0,Cash
10000,36 months,13.56,Vice President Student Lending,5 years,RENT,106000,Not Verified,01-12-2018,Current,Debt consolidation,WA,4,668,0,01-02-2019,76,Individual,,0,10022,0,2,DirectPay
16000,60 months,12.98,Bartender,10+ years,MORTGAGE,65000,Source Verified,01-12-2018,Current,Debt consolidation,NV,18.24,710.47,0,01-02-2019,,Individual,,0,256534,17121,2,Cash
6000,36 months,16.14,,10+ years,RENT,90000,Not Verified,01-12-2018,Current,Home improvement,CA,10.28,414.65,0,01-02-2019,,Individual,,0,34094,19504,0,Cash
12000,36 months,10.72,Registered Nurse,10+ years,RENT,181000,Not Verified,01-12-2018,Current,Other,AZ,9.03,771.84,0,01-02-2019,30,Joint App,261500,0,38739,23853,2,Cash
7500,36 months,16.91,,< 1 year,MORTGAGE,210000,Source Verified,01-12-2018,Current,Other,MN,3.34,516.51,0,01-02-2019,,Individual,,0,22911,17978,2,Cash
26000,36 months,16.14,Superintendent,2 years,MORTGAGE,103000,Not Verified,01-12-2018,Current,Credit card refinancing,CO,13.98,1773.5,0,01-02-2019,,Individual,,0,31386,4918,0,DirectPay
35000,60 months,11.31,,n/a,RENT,37728,Source Verified,01-12-2018,Current,Debt consolidation,FL,84.83,854.38,0,01-02-2019,63,Joint App,95160,0,133898,102308,3,DirectPay
22350,36 months,15.02,Loan Officer,10+ years,MORTGAGE,60000,Verified,01-12-2018,Current,Debt consolidation,IL,60.4,1503.36,0,01-02-2019,,Joint App,120000,0,323271,65238,3,DirectPay
16000,60 months,8.19,Marketing manager,9 years,RENT,60000,Not Verified,01-12-2018,Current,Credit card refinancing,GA,10.58,633.56,0,01-02-2019,,Individual,,0,12354,7247,0,Cash
26500,60 months,27.27,Supervision Advisor,10+ years,MORTGAGE,70000,Not Verified,01-12-2018,Fully Paid,Debt consolidation,FL,18.46,26881.4,0,01-01-2019,,Individual,,0,356069,147080,2,Cash
12000,60 months,22.35,,n/a,MORTGAGE,48177.84,Verified,01-12-2018,Current,Debt consolidation,KY,9.19,637.84,0,01-02-2019,27,Joint App,100277.84,0,180232,0,1,Cash
15000,60 months,14.47,,< 1 year,MORTGAGE,50000,Not Verified,01-12-2018,Current,Debt consolidation,FL,16.78,681.26,0,01-02-2019,,Individual,,0,217593,21345,1,Cash
23000,60 months,8.19,OWNER,10+ years,OWN,75000,Not Verified,01-12-2018,Current,Debt consolidation,FL,16.54,910.76,0,01-02-2019,,Individual,,0,42955,28220,0,DirectPay
26500,60 months,10.72,,n/a,ANY,66000,Not Verified,01-12-2018,Fully Paid,Home improvement,CA,20.14,26665.8589748441,0,01-01-2019,,Individual,,0,49985,41784,0,Cash
5000,36 months,7.56,Athletic coordinator,< 1 year,OWN,32000,Source Verified,01-12-2018,Current,Credit card refinancing,FL,4.99,307.14,0,01-02-2019,,Individual,,0,3861,0,1,Cash
7500,36 months,17.97,sales,10+ years,RENT,80000,Not Verified,01-12-2018,Current,Credit card refinancing,IN,32.91,527.1,0,01-02-2019,55,Individual,,0,111409,45130,2,Cash
12000,36 months,11.31,Senior product manager,10+ years,RENT,100000,Source Verified,01-12-2018,Current,Debt consolidation,GA,15.13,804.34,0,01-02-2019,,Individual,,0,38456,28749,0,Cash
20000,60 months,25.34,,n/a,RENT,8652,Verified,01-12-2018,Current,Debt consolidation,OH,139.94,1125.73,0,01-02-2019,,Joint App,45072,0,30108,23638,0,Cash
10000,36 months,7.56,Terminal operator,7 years,MORTGAGE,80000,Not Verified,01-12-2018,Current,Credit card refinancing,IN,16.22,614.28,0,01-02-2019,,Individual,,0,146971,9493,1,Cash
9600,36 months,15.02,Sales Coordinator,3 years,MORTGAGE,45000,Source Verified,01-12-2018,Current,Debt consolidation,TX,24.08,717.77,0,01-02-2019,,Individual,,0,32390,26716,0,Cash
24000,36 months,7.02,,n/a,OWN,64000,Verified,01-12-2018,Current,Credit card refinancing,GA,25.58,1473.18,0,01-02-2019,,Individual,,0,220966,209,1,DirectPay
